121.808273, 31.1443439;Shanghai
103.9915308, 1.3644202;Singapour
-53.7220589, 66.9519901;Sisimiut
21.6223532, 41.963161;Skopje
23.4071233, 42.6934278;Sofia
16.2983384, 43.5384387;Split
-52.7424429, 47.6212101;St Jean
12.6119908, 44.0201463;St Marin
-63.1130821, 18.0418698;St Martin
-56.1778376, 46.7652581;St Pierre
5.6314021, 58.8804407;Stavanger
17.9237807, 59.6497622;Stockholm
7.6280226, 48.5394301;Strasbourg
151.1752764, -33.9399228;Sydney
126.4409637, 37.4610972;Séoul
-5.89305, 37.4201674;Séville
-149.6103874, -17.5598646;Tahiti
121.234217, 25.0796514;Taipei
17.923781, 59.649762;Tallinn
8.5554755, 47.4582165;Tarbes Lyon
44.964349, 41.6696083;Tbilissi
34.8854112, 32.005532;Tel Aviv
22.9716758, 40.5204227;Thessalonique
21.320193, 45.8102336;Timisoara
139.7798386, 35.5493932;Tokyo
-79.6248197, 43.6777176;Toronto
1.367682, 43.6293863;Toulouse
-72.676191, 46.362707;Trois Rivières
10.9225991, 63.4582698;Trondheim
10.2190745, 36.8458578;Tunis
51.1554896, 35.4089938;Téhéran
51.311241, 35.6899882;Téhéran Mehrabad
21.2559067, -28.4086352;Upington
-68.309701, -54.8422373;Ushuaia
-7.27546, 62.0633297;Vagar
-0.4780256, 39.4892327;Valence
-123.1815123, 49.1966913;Vancouver
20.9678911, 52.1672369;Varsovie
12.3460177, 45.5044899;Venise
16.5665751, 48.1158333;Vienne
25.2865584, 54.6380366;Vilnius
174.8075984, -41.3275941;Wellington
17.4639679, -22.4872637;Windhoek
-97.2365461, 49.9098283;Winnipeg
108.7573294, 34.437111;Xi'an
16.0674366, 45.7407504;Zagreb
8.5554755, 47.4582165;Zurich
-3.3614532, 55.950785;Édimbourg
87.474167, 43.907222;Ürümqi
